City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Cidreira,BR,-30.1811,-50.2056,61.99,63,97,13.09,overcast clouds
199,Segezha,RU,63.7415,34.3222,38.3,91,100,10.11,overcast clouds
200,Shingu,JP,33.7333,135.9833,66.94,90,5,4.23,clear sky
201,Ternate,ID,0.8,127.4,79.9,81,93,5.37,overcast clouds
202,Hargeysa,SO,9.56,44.065,71.31,65,50,16.82,scattered clouds
203,Saint-Pierre,RE,-21.3393,55.4781,73.56,77,0,11.5,clear sky
204,Mitu,CO,1.1983,-70.1733,89.98,48,72,2.8,broken clouds
205,Manzhouli,CN,49.6,117.4333,40.05,77,100,5.5,light rain
206,Hanna,CA,51.6334,-111.9018,75.85,29,100,15.01,overcast clouds
207,Manta,EC,-0.95,-80.7333,80.38,61,40,12.66,scattered clouds
208,Cherskiy,RU,68.75,161.3,24.4,62,0,5.53,clear sky
209,Mar Del Plata,AR,-38.0023,-57.5575,57.22,70,0,16.11,clear sky
210,Nemuro,JP,43.3236,145.575,57.87,75,11,8.41,few clouds
211,Dikson,RU,73.5069,80.5464,35.08,83,42,18.12,scattered clouds
212,Cockburn Town,TC,21.4612,-71.1419,81.14,74,21,9.15,few clouds
213,Dukhovshchina,RU,55.1919,32.4111,50.97,89,100,7.23,light rain
214,Zhicheng,CN,30.2956,111.5047,72.46,60,100,1.9,overcast clouds
215,Sinnamary,GF,5.3833,-52.95,81.41,81,53,13.0,broken clouds
216,Salalah,OM,17.0151,54.0924,79.21,83,98,6.49,overcast clouds
217,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,82,100,14.97,overcast clouds
218,Zdvinsk,RU,54.7021,78.661,30.04,82,94,12.48,overcast clouds
219,Ulladulla,AU,-35.35,150.4667,55.38,81,43,13.35,light rain
220,Port Blair,IN,11.6667,92.75,78.84,89,75,5.75,mist
221,Tecoanapa,MX,16.5167,-98.75,85.08,69,20,9.46,few clouds
222,Mitsamiouli,KM,-11.3847,43.2844,75.47,73,19,1.21,few clouds
223,Khatanga,RU,71.9667,102.5,27.84,95,100,4.43,overcast clouds
224,Calvinia,ZA,-31.4707,19.776,62.26,31,44,6.58,scattered clouds
225,Saldanha,ZA,-33.0117,17.9442,59.05,87,100,17.02,overcast clouds
226,Takoradi,GH,4.8845,-1.7554,75.4,88,5,7.0,clear sky
227,Aguimes,ES,27.9054,-15.4461,70.66,78,75,17.27,broken clouds
228,Tessalit,ML,20.1986,1.0114,97.12,13,91,6.85,overcast clouds
229,Balaipungut,ID,1.05,101.2833,74.91,97,100,2.64,overcast clouds
230,Povenets,RU,62.8487,34.8262,37.27,97,100,9.69,overcast clouds
231,Rodrigues Alves,BR,-7.738,-72.6509,82.6,97,100,6.62,light rain
232,Ponnani,IN,10.767,75.9252,76.32,89,100,4.97,overcast clouds
233,Sao Filipe,CV,14.8961,-24.4956,80.11,84,8,11.18,clear sky
234,Ugoofaaru,MV,5.6667,73.0,80.89,76,83,10.25,broken clouds
235,Evensk,RU,61.95,159.2333,35.17,98,100,19.3,snow
236,Strezhevoy,RU,60.7333,77.5889,25.25,81,25,7.05,scattered clouds
237,The Valley,AI,18.217,-63.0578,82.54,78,40,11.5,scattered clouds
238,Inverell,AU,-29.7833,151.1167,49.15,96,21,4.0,few clouds
239,Huilong,CN,31.8111,121.655,68.94,81,85,7.45,overcast clouds
240,Garmsar,IR,35.2182,52.3409,81.84,13,0,3.33,clear sky
241,Namibe,AO,-15.1961,12.1522,68.25,85,97,2.57,overcast clouds
242,Vrises,GR,35.492,23.8899,77.2,67,5,0.87,clear sky
243,Gao,ML,16.6362,1.637,95.67,25,9,7.94,clear sky
244,Puerto Carreno,CO,6.189,-67.4859,93.18,52,40,3.44,scattered clouds
245,Hastings,GB,50.8552,0.5729,53.91,72,10,4.43,clear sky
246,Noyabrsk,RU,63.1994,75.4507,25.88,68,11,8.75,few clouds
247,Muyezerskiy,RU,63.9333,31.65,36.01,99,100,5.93,overcast clouds
248,Shu,KZ,43.5983,73.7614,54.01,40,100,7.49,overcast clouds
249,Boyuibe,BO,-20.4167,-63.2833,61.02,58,95,6.55,light rain
250,Bengkulu,ID,-3.8004,102.2655,74.48,90,97,4.65,overcast clouds
251,Hengyang,CN,26.8881,112.615,76.48,57,58,2.37,broken clouds
252,Minna,NG,9.6139,6.5569,73.11,88,40,5.75,thunderstorm with light rain
253,Remerschen,LU,49.4886,6.3517,48.34,93,0,3.44,clear sky
254,Karratha,AU,-20.7377,116.8463,70.43,73,1,7.94,clear sky
255,Yenagoa,NG,4.9247,6.2642,74.52,94,100,4.52,moderate rain
256,Price,US,39.5994,-110.8107,71.11,34,83,7.61,broken clouds
257,Singaraja,ID,-8.112,115.0882,78.98,82,100,4.16,overcast clouds
258,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,68,40,2.91,scattered clouds
259,Faanui,PF,-16.4833,-151.75,78.55,72,15,18.45,few clouds
260,Saint Albans,GB,51.75,-0.3333,56.32,78,100,6.91,overcast clouds
261,Mahebourg,MU,-20.4081,57.7,70.09,73,40,6.91,scattered clouds
262,Merauke,ID,-8.4667,140.3333,77.99,87,97,8.34,overcast clouds
263,Zhigansk,RU,66.7697,123.3711,25.95,84,98,9.19,overcast clouds
264,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,40,16.11,scattered clouds
265,Faribault,US,44.295,-93.2688,69.93,31,0,13.8,clear sky
266,Opuwo,NA,-18.0607,13.84,71.51,31,42,7.34,scattered clouds
267,Shumskiy,RU,54.8318,99.1328,36.3,99,100,9.57,heavy intensity rain
268,Chicama,PE,-7.8447,-79.1469,61.34,62,43,10.4,scattered clouds
269,Buraydah,SA,26.326,43.975,84.65,14,0,12.44,clear sky
270,Ahipara,NZ,-35.1667,173.1667,61.61,97,100,6.89,overcast clouds
271,Thompson,CA,55.7435,-97.8558,51.96,76,75,9.22,broken clouds
272,Souillac,MU,-20.5167,57.5167,70.18,73,40,6.91,scattered clouds
273,Vardo,NO,70.3705,31.1107,44.58,87,0,6.91,clear sky
274,Verkhoyansk,RU,67.5447,133.385,24.58,92,100,3.22,overcast clouds
275,Flin Flon,CA,54.7682,-101.865,66.04,63,75,8.05,broken clouds
276,Altay,CN,47.8667,88.1167,34.47,69,100,7.07,overcast clouds
277,Port Hedland,AU,-20.3167,118.5667,71.65,73,40,5.75,scattered clouds
278,Muli,MV,2.9167,73.5667,79.79,80,100,21.32,overcast clouds
279,Cody,US,44.5263,-109.0565,77.41,30,100,1.99,overcast clouds
280,Port-Gentil,GA,-0.7193,8.7815,76.96,83,20,4.61,few clouds
281,Talnakh,RU,69.4865,88.3972,31.21,98,100,4.61,overcast clouds
282,Gat,IL,31.61,34.7642,81.39,100,0,5.28,clear sky
283,Kavaratti,IN,10.5669,72.642,80.89,74,100,11.88,overcast clouds
284,Tokur,RU,53.1333,132.9,29.93,99,100,2.28,light snow
285,Rongcheng,CN,30.634,117.8517,70.74,88,100,2.08,overcast clouds
286,Esperance,AU,-33.8667,121.9,50.56,86,0,11.25,clear sky
287,Sisimiut,GL,66.9395,-53.6735,37.38,94,100,12.68,overcast clouds
288,Champasak,LA,14.75,106.0,72.27,99,94,2.91,overcast clouds
289,Xiashi,CN,30.5363,120.6864,78.01,96,93,5.99,overcast clouds
290,Balkanabat,TM,39.5108,54.3671,75.85,48,1,4.9,clear sky
291,Mackay,AU,-21.15,149.2,58.68,78,1,9.4,clear sky
292,Kangaatsiaq,GL,68.3065,-53.4641,36.63,82,100,5.68,overcast clouds
293,Jalu,LY,29.0331,21.5482,92.46,14,0,6.69,clear sky
294,Rio Grande,BR,-32.035,-52.0986,66.31,66,75,12.1,broken clouds
